trackIsexplicit,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,songIsLiked
0,496,133,0,-14689,36,977,12,119,212,138095,1
0,408,34,8000,-23218,33,776,909,115,203,89940,1
0,353,71,5000,-21734,31,967,566,116,204,107590,1
0,450,106,0,-21776,31,987,816,100,173,99910,1
0,442,149,10000,-18437,37,961,552,170,134,110037,1
0,587,203,3000,-17173,44,921,939,346,153,59110,1
0,549,157,7000,-19482,31,920,595,88,209,101940,0
1,629,403,4000,-9273,107,775,0,112,200,86216,0
0,650,319,7000,-9274,50,935,0,258,196,84063,0
0,416,99,1000,-15182,78,914,0,100,428,76664,0
0,704,379,5000,-8488,31,482,0,68,521,121995,0
1,525,749,4000,-6780,415,304,0,72,960,188030,1
1,857,697,7000,-8682,355,130,0,72,851,130044,1
1,670,517,8000,-10806,269,339,0,140,268,85904,1
1,477,755,10000,-5781,163,35,0,100,586,81283,1
1,765,689,7000,-6166,34,82,0,140,76,107964,1
1,629,557,9000,-8706,337,1,0,138,146,180024,1
1,583,437,6000,-13420,390,508,0,240,479,83472,1
1,718,551,9000,-9646,377,174,0,126,235,130163,0
1,796,766,7000,-5974,238,74,0,82,558,110034,0
1,721,707,6000,-6364,59,181,0,143,743,125005,1
1,739,419,3000,-8241,85,219,0,196,580,60493,0
1,544,718,5000,-8286,240,99,0,200,361,80095,1
1,737,846,1000,-4510,220,6,0,48,546,87981,1
1,736,704,3000,-7409,61,20,0,50,894,149995,0
0,793,460,4000,-6208,61,153,0,104,667,129987,1
0,791,267,5000,-11997,41,674,534,102,544,165990,0
0,827,322,6000,-10213,51,59,0,87,745,124986,1
0,450,583,4000,-10490,81,434,12,244,701,77066,0
0,333,498,2000,-9121,46,674,0,120,427,87082,1
0,362,258,7000,-9655,31,16,7,231,133,77021,1
1,497,177,2000,-15090,39,916,0,343,221,134115,1
1,385,710,9000,-5158,80,56,0,63,398,148385,0
1,602,472,6000,-5375,265,262,0,172,304,163817,0
1,698,451,2000,-13629,939,599,0,376,924,136352,0
0,361,129,10000,-18229,34,848,529,128,299,180640,1
0,403,27,1000,-26497,43,956,948,158,135,84169,1
0,275,115,2000,-19401,34,933,621,123,83,77001,1
0,462,29,0,-25490,38,974,930,107,87,90083,1
0,362,185,5000,-19244,41,970,760,339,66,98651,1
0,388,129,7000,-18276,36,955,783,135,191,90873,1
1,750,385,4000,-9109,123,331,0,147,505,68713,1
1,618,217,10000,-15372,51,836,0,538,87,116014,0
1,454,407,11000,-10733,73,582,774,117,242,81401,0
1,458,378,2000,-11354,150,416,91,96,37,168232,1
1,643,329,1000,-12598,89,425,665,95,202,156959,0
1,803,338,0,-9397,41,426,5,117,72,119989,1
1,330,160,7000,-11647,33,987,930,210,122,131222,1
0,740,72,3000,-17984,71,981,6,111,297,139081,0
0,731,364,0,-13366,160,893,935,192,752,138012,1
0,773,485,4000,-10080,36,808,876,126,412,119963,0
0,550,473,8000,-11806,52,664,872,143,242,85081,0
0,734,336,10000,-15054,57,692,907,112,60,80004,1
0,705,163,3000,-19000,72,814,703,111,450,159988,1
0,461,325,6000,-9826,27,201,794,118,691,180110,1
0,680,367,6000,-14941,47,67,929,131,720,113113,1
0,626,169,11000,-21104,131,347,210,197,306,84017,1
0,612,308,6000,-19131,61,138,795,121,546,143919,1
0,856,129,6000,-13999,379,837,915,115,476,82055,1
0,632,595,5000,-6803,63,662,769,147,656,84018,1
0,598,186,2000,-16616,42,722,940,106,143,74022,1
0,661,358,5000,-16862,78,899,873,125,348,145921,1
0,554,440,11000,-7481,28,615,505,102,247,144086,1
0,690,222,8000,-18795,90,674,898,123,97,170000,1
0,816,453,7000,-9022,144,335,967,133,474,84958,1
0,558,45,1000,-29616,28,959,875,110,117,98986,1
0,811,431,2000,-9850,393,727,935,112,336,89965,1
0,737,517,11000,-9415,77,512,5,109,525,101095,0
1,664,777,11000,-7950,76,128,51,185,489,93011,0
0,782,491,8000,-12218,90,185,905,119,725,142973,1
0,700,351,1000,-11531,49,36,893,118,330,146970,0
0,849,414,0,-15032,50,803,924,104,335,133970,0
0,742,348,11000,-12434,41,15,866,131,101,128002,0
0,806,358,3000,-12512,41,268,854,115,828,121049,1
0,806,577,4000,-11908,64,290,885,93,444,119014,0
0,868,315,11000,-13378,41,327,834,87,432,125997,1
0,772,616,0,-6342,48,12,909,47,331,99974,0
0,783,144,0,-11475,82,12,894,124,398,130031,0
0,733,605,2000,-7584,49,36,890,54,491,144013,1
0,671,375,4000,-10912,54,598,818,94,63,150087,0
